username,ppid,name,pid
yura,3496,Isolated Web Co,3789
yura,3496,Isolated Web Co,3825
yura,3496,Isolated Web Co,3851
yura,3496,Isolated Web Co,3872
yura,3496,Isolated Web Co,3880
yura,3496,Isolated Web Co,3910
yura,3496,Isolated Web Co,3932
yura,3496,Isolated Web Co,3958
yura,3496,Isolated Web Co,3978
yura,3496,Isolated Web Co,4002
yura,3496,Isolated Web Co,4019
yura,3496,Isolated Web Co,4052
yura,3496,Isolated Web Co,4061
yura,1655,snap,4169
yura,3496,WebExtensions,4271
yura,3496,Isolated Servic,4278
yura,3496,RDD Process,4499
yura,3496,Utility Process,4501
yura,2059,telegram-desktop,4567
yura,3496,Isolated Web Co,4785
yura,3496,Isolated Web Co,5146
yura,1655,code,5257
yura,5257,code,5260
yura,5257,code,5261
yura,1655,chrome_crashpad_handler,5276
yura,3496,Isolated Web Co,5324
yura,5257,code,5377
yura,5257,code,5395
yura,3496,Isolated Web Co,5436
yura,3496,Isolated Web Co,5473
yura,5261,code,5487
yura,3496,Isolated Web Co,5563
yura,3496,Isolated Web Co,5663
yura,5257,code,5664
yura,5257,code,5680
yura,5261,code,5897
yura,5257,code,5911
yura,5257,code,5912
yura,5664,bash,5944
yura,5664,bash,6036
yura,5680,python,6038
yura,5680,code,6105
yura,3496,Isolated Web Co,6189
yura,2036,update-notifier,6328
root,2,kworker/7:2-events,9024
root,2,kworker/u33:2-rb_allocator,9379
yura,1680,ssh-agent,9869
root,2,kworker/u32:1-ext4-rsv-conversion,10283
root,2,kworker/11:2-events,12381
root,2,kworker/9:0-events,12523
root,2,kworker/u33:0-rb_allocator,12824
yura,1655,launcher.sh,13059
yura,13059,ZoomLauncher,13155
yura,13155,zoom,13156
yura,13156,zoom,13167
yura,13156,zoom,13168
yura,13168,zoom,13184
yura,13167,zoom,13198
yura,13156,zoom,13220
root,2,kworker/u32:2-events_unbound,13345
root,2,kworker/0:1-events,14379
root,2,kworker/3:1-events,14411
root,2,kworker/5:0-events,14475
root,2,kworker/6:0-inet_frag_wq,15137
yura,5680,code,15317
yura,13184,zoom,15443
yura,13184,zoom,15449
yura,13184,zoom,15451
root,2,kworker/2:0-events,15580
root,2,kworker/4:0-inet_frag_wq,15868
root,2,kworker/1:0-events,16225
root,2,kworker/8:0-inet_frag_wq,16226
root,2,kworker/3:2-events,16263
root,2,kworker/9:2-events,16347
root,2,kworker/u32:0-events_power_efficient,16449
root,2,kworker/10:0-events,16488
root,2,kworker/0:2-events,16489
root,2,kworker/7:0-inet_frag_wq,16541
root,2,kworker/5:1-mm_percpu_wq,16575
root,2,kworker/6:1-events,16621
root,2,kworker/4:2-mm_percpu_wq,16818
root,2,kworker/11:0-events,16852
root,2,kworker/8:1-events,17128
root,2,kworker/1:2-events,17213
root,2,kworker/2:1-inet_frag_wq,17214
root,2,kworker/10:2-events,17249
root,2,kworker/3:0-events,17326
root,2,kworker/0:0-events,17327
root,2,kworker/7:1-events,17328
root,2,kworker/u33:1-rb_allocator,17415
root,2,kworker/6:2-events,17478
root,2,kworker/4:1,17488
root,2,kworker/u32:3,17525
root,2,kworker/9:1-events,17539
root,2,kworker/11:1-events,17574
root,2,kworker/2:2-events,17610
yura,3496,Isolated Web Co,17611
yura,5944,python3,17647
yura,5664,sh,17652
yura,17652,cpuUsage.sh,17653
yura,17653,sleep,17657
